Country/Territory of Seizure,Year,Quantity Seized,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Belgium,2011,313.144,,,,,
Belgium,2012,17.09,,,,,
Belgium,2018,16492.49,,,,,
Belgium,2019,24956.72,,,,,
Belgium,2020,17385.06,,,,,
Belgium,2021,44179.44,,,,,
Belgium,2022,17149.723,,,,,
Belgium,2023,34885.252,,,,,
Belgium,2024,11080.961,,,,,
Bolivia (Plurinational State of),2011,28457.8598,,,,,
Bolivia (Plurinational State of),2012,26294.5836,,,,,
Bolivia (Plurinational State of),2018,5419.682,,,,,
Bolivia (Plurinational State of),2019,5200.86776,,,,,
Bolivia (Plurinational State of),2020,7252.947,,,,,
Bolivia (Plurinational State of),2021,7626.631,,,,,
Bolivia (Plurinational State of),2022,7821.165,,,,,
Bolivia (Plurinational State of),2023,8827.9459,,,,,
Bolivia (Plurinational State of),2024,12429.974,,,,,
Brazil,2012,18.701,,,,,
Brazil,2014,361.7,,,,,
Brazil,2023,17822.82,,,,,
Brazil,2024,13503.374,,,,,
Colombia,2011,2057907.3833,,,,,
Colombia,2012,203509.3292,,,,,
Colombia,2013,151913.5,,,,,
Colombia,2014,126912.2835,,,,,
Colombia,2015,567952.7427,,,,,
Colombia,2016,620000.1824,,,,,
Colombia,2017,448621.7034,,,,,
Colombia,2018,289407.3519,,,,,
Colombia,2019,332545.808,,,,,
Colombia,2020,297295.8356,,,,,
Colombia,2021,413381.8025,,,,,
Colombia,2022,176428.6542,,,,,
Colombia,2023,488431.6432,,,,,
Colombia,2024,216246.1467,,,,,
France,2011,377.615,,,,,
France,2012,32.058,,,,,
Greece,2019,324.12028,,,,,
Greece,2020,127.22068,,,,,
Greece,2021,218.52667,,,,,
Greece,2022,350.3254,,,,,
Greece,2023,391.287,,,,,
Greece,2024,10252.49125,,,,,
Netherlands,2019,44342.0,,,,,
Netherlands,2020,48891.0,,,,,
Netherlands,2021,72808.0,,,,,
Netherlands,2022,51447.0,,,,,
Netherlands,2023,59116.0,,,,,
Peru,2011,9186.578,,,,,
Peru,2012,10897.594,,,,,
Peru,2013,29641.974,,,,,
Peru,2014,35458.06,,,,,
Peru,2015,11784.432,,,,,
Peru,2017,6910.539,,,,,
Peru,2018,4715.311245,,,,,
Peru,2022,32390.33255,,,,,
Peru,2023,15564.006,,,,,
Peru,2024,210.416,,,,,
Portugal,2011,940.507503,,,,,
Portugal,2012,1703.4682699999998,,,,,
Portugal,2013,878.662,,,,,
Portugal,2014,1817.415697,,,,,
Portugal,2015,409.108982,,,,,
Portugal,2016,579.053409,,,,,
Portugal,2017,757.481771,,,,,
Portugal,2018,3512.492802,,,,,
Portugal,2019,2139.1413789999997,,,,,
Portugal,2020,5475.371061,,,,,
Portugal,2021,945.476143,,,,,
Portugal,2022,8682.417891,,,,,
Portugal,2023,72.90714,,,,,
Portugal,2024,10403.43923,,,,,
Spain,2011,12098.121,,,,,
Spain,2012,7501.74473,,,,,
Spain,2013,5907.43487,,,,,
Spain,2014,7891.43883,,,,,
Spain,2015,6803.44264,,,,,
Spain,2016,5945.29802,,,,,
Spain,2017,7172.08485,,,,,
Spain,2018,10620.12541,,,,,
Spain,2019,4601.86992,,,,,
Spain,2020,8771.37462,,,,,
Spain,2021,13623.74093,,,,,
Spain,2022,5383.16679,,,,,
Spain,2023,44021.05572,,,,,
Spain,2024,25583.12072,,,,,
Sweden,2011,1.24,,,,,
Sweden,2012,8.868,,,,,
Sweden,2020,304.85182,,,,,
Sweden,2021,109.64834999999998,,,,,
Sweden,2022,543.2429700000001,,,,,
Sweden,2023,106.24014899999996,,,,,
Sweden,2024,1.1754199999999992,,,,,
United States of America,2019,793243.0,,,,,
United States of America,2020,1199640.363,,,,,
United States of America,2021,780502.7017,,,,,
United States of America,2022,738092.13,,,,,
United States of America,2023,448829.7376,,,,,
